measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,1990,0.885900141,0.994198567,0.787801951
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,1991,0.941532032,1.055508835,0.836691035
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,1992,0.996782232,1.115499887,0.883994603
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,1995,1.31632246,1.477040659,1.166774437
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,1993,1.087365726,1.22344699,0.966001853
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,1999,2.256247104,2.548878563,2.007548001
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,1994,1.146925315,1.282694531,1.014058531
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,2003,4.00139715,4.5123899,3.542982303
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,1997,1.645248597,1.838563855,1.467177451
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,1998,1.879117951,2.10930316,1.682464361
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,1996,1.445384574,1.615934011,1.290368604
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,2007,6.388286377,7.150964325,5.702154089
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,2001,2.987425832,3.376445664,2.649347609
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,2000,2.584403976,2.925867103,2.306036364
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,2011,8.502111019,9.510237547,7.639477427
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,2002,3.500055738,3.956897571,3.108781518
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,2005,5.173914509,5.796331281,4.602892334
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,2004,4.68200349,5.271528871,4.137581392
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,2006,5.96504975,6.696856684,5.30997592
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,2015,12.91461473,14.56541393,11.44815886
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,2009,7.407141317,8.221780677,6.610927436
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,2008,6.95025807,7.743595662,6.199015649
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,2019,18.57157563,22.53096698,15.33575131
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,2013,10.29706675,11.55916439,9.188035553
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,2012,9.332294237,10.40381876,8.36677315
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,2010,7.967696595,8.888897401,7.172856209
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,2014,11.51659388,13.00296955,10.22386477
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,2017,16.57504481,19.09486256,14.22381632
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,2018,17.42053414,20.7299694,14.5737065
1,Deaths,523,Alabama,3,Both,22,All ages,562,Opioid use disorders,3,Rate,2016,14.58836308,16.46723016,12.96649076
1,Deaths,525,Arizona,3,Both,22,All ages,562,Opioid use disorders,3,Rate,1990,2.105786563,2.39372869,1.8504921
1,Deaths,525,Arizona,3,Both,22,All ages,562,Opioid use disorders,3,Rate,1991,2.265064795,2.548106738,1.988859627
